GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,BLK_DAY_RANK
3/3/2019,CHI,Chicago Bulls,CHI vs. ATL,Shaquille Harrison,G,18.8,12649,0,12874,4,3929,2,812,1,18112,0,13385,4,9339,0,11467,0,15731,7
3/3/2019,TOR,Toronto Raptors,TOR @ DET,Marc Gasol,C,38.1,3148,1,7056,5,2659,2,812,2,14769,8,447,8,2894,1,4317,1,8514,8
3/3/2019,ATL,Atlanta Hawks,ATL @ CHI,Alex Len,C,47.8,1257,5,280,2,8551,2,812,9,1419,5,1672,9,2204,0,11467,0,15731,9
3/3/2019,WAS,Washington Wizards,WAS vs. MIN,Thomas Bryant,C,15.8,14682,1,7056,0,18130,1,2443,3,11548,2,6102,4,9339,0,11467,1,8514,10
3/29/2019,UTA,Utah Jazz,UTA vs. WAS,Rudy Gobert,C,46.9,1399,0,12874,3,5849,3,272,4,8828,5,1672,17,151,1,4317,3,1827,1
3/29/2019,BOS,Boston Celtics,BOS vs. IND,Al Horford,C-F,39.4,2808,1,7056,2,8551,3,272,8,2174,2,6102,7,3913,0,11467,0,15731,2
3/29/2019,OKC,Oklahoma City Thunder,OKC vs. DEN,Nerlens Noel,F-C,22.4,10328,0,12874,0,18130,2,812,4,8828,0,13385,7,3913,0,11467,0,15731,3
3/29/2019,UTA,Utah Jazz,UTA vs. WAS,Jae Crowder,F,33.6,4650,4,662,2,8551,2,812,6,4636,2,6102,3,12137,1,4317,0,15731,4
3/29/2019,LAL,Los Angeles Lakers,LAL vs. CHA,JaVale McGee,C,28.8,6766,0,12874,2,8551,2,812,4,8828,2,6102,9,2204,0,11467,1,8514,5
3/29/2019,ATL,Atlanta Hawks,ATL vs. POR,Dewayne Dedmon,C,18,13191,1,7056,0,18130,2,812,3,11548,0,13385,5,7038,0,11467,1,8514,6
3/29/2019,ATL,Atlanta Hawks,ATL vs. POR,John Collins,F-C,30.9,5804,1,7056,3,5849,2,812,8,2174,3,4174,2,15352,0,11467,2,4097,7
3/29/2019,GSW,Golden State Warriors,GSW @ MIN,Kevin Durant,F,50.9,899,2,3543,7,1184,2,812,8,2174,5,1672,12,814,0,11467,3,1827,8
3/29/2019,ATL,Atlanta Hawks,ATL vs. POR,Justin Anderson,G,17.4,13598,2,3543,2,8551,2,812,2,14769,0,13385,2,15352,0,11467,0,15731,9
3/29/2019,OKC,Oklahoma City Thunder,OKC vs. DEN,Jerami Grant,F,17.4,13598,2,3543,0,18130,2,812,3,11548,2,6102,2,15352,0,11467,1,8514,10
3/28/2019,DET,Detroit Pistons,DET vs. ORL,Andre Drummond,C,63.6,196,0,12874,4,3929,6,10,9,1419,0,13385,18,108,1,4317,3,1827,1
3/28/2019,SAC,Sacramento Kings,SAC @ NOP,Kosta Koufos,C,20.2,11766,0,12874,2,8551,3,272,1,18112,0,13385,6,5192,0,11467,1,8514,2
3/28/2019,SAS,San Antonio Spurs,SAS vs. CLE,Jakob Poeltl,C,19.9,11947,0,12874,1,12618,3,272,1,18112,2,6102,2,15352,1,4317,0,15731,3
3/28/2019,LAC,LA Clippers,LAC @ MIL,Shai Gilgeous-Alexander,G,37.2,3409,1,7056,2,8551,2,812,8,2174,4,2601,6,5192,1,4317,3,1827,4
3/28/2019,TOR,Toronto Raptors,TOR @ NYK,Fred VanVleet,G,36.6,3598,4,662,8,789,2,812,4,8828,0,13385,3,12137,1,4317,0,15731,5
3/28/2019,DET,Detroit Pistons,DET vs. ORL,Thon Maker,F,21.7,10804,2,3543,1,12618,2,812,3,11548,0,13385,6,5192,0,11467,1,8514,6
3/28/2019,SAC,Sacramento Kings,SAC @ NOP,Willie Cauley-Stein,C,44.4,1795,0,12874,4,3929,2,812,7,3260,4,2601,12,814,0,11467,0,15731,7
3/28/2019,SAS,San Antonio Spurs,SAS vs. CLE,LaMarcus Aldridge,C-F,24.1,9282,0,12874,1,12618,2,812,6,4636,2,6102,3,12137,0,11467,1,8514,8
3/28/2019,MIL,Milwaukee Bucks,MIL vs. LAC,Ersan Ilyasova,F,10.9,17969,0,12874,1,12618,2,812,0,21502,2,6102,2,15352,0,11467,1,8514,9
3/28/2019,NOP,New Orleans Pelicans,NOP vs. SAC,Jahlil Okafor,C,28.8,6766,0,12874,0,18130,2,812,6,4636,0,13385,9,2204,0,11467,0,15731,10
3/27/2019,IND,Indiana Pacers,IND @ OKC,Myles Turner,C-F,40.3,2579,1,7056,1,12618,4,98,5,6509,1,10110,14,434,0,11467,2,4097,1
3/27/2019,GSW,Golden State Warriors,GSW @ MEM,DeMarcus Cousins,C,50.8,910,1,7056,6,1803,3,272,7,3260,1,10110,9,2204,3,415,3,1827,2
3/27/2019,OKC,Oklahoma City Thunder,OKC vs. IND,Jerami Grant,F,44.4,1795,5,280,4,3929,3,272,7,3260,0,13385,7,3913,1,4317,1,8514,3
3/27/2019,UTA,Utah Jazz,UTA vs. LAL,Rudy Gobert,C,50.2,976,0,12874,0,18130,3,272,9,1419,4,2601,11,1140,2,1393,0,15731,4
3/27/2019,POR,Portland Trail Blazers,POR @ CHI,Zach Collins,F-C,25.6,8438,2,3543,2,8551,2,812,4,8828,3,4174,3,12137,0,11467,0,15731,5
3/27/2019,GSW,Golden State Warriors,GSW @ MEM,Draymond Green,F,31.4,5566,1,7056,6,1803,2,812,2,14769,1,10110,7,3913,2,1393,4,786,6
3/27/2019,LAL,Los Angeles Lakers,LAL @ UTA,JaVale McGee,C,38.1,3148,0,12874,1,12618,2,812,7,3260,2,6102,13,591,0,11467,1,8514,7
3/27/2019,PHX,Phoenix Suns,PHX vs. WAS,Deandre Ayton,C,31.5,5512,0,12874,1,12618,2,812,6,4636,2,6102,10,1582,0,11467,2,4097,8
3/27/2019,LAL,Los Angeles Lakers,LAL @ UTA,Kyle Kuzma,F,29.4,6486,2,3543,0,18130,2,812,8,2174,3,4174,2,15352,0,11467,0,15731,9
3/27/2019,MEM,Memphis Grizzlies,MEM vs. GSW,Bruno Caboclo,F,46.1,1518,3,1597,3,5849,2,812,7,3260,0,13385,13,591,1,4317,0,15731,10
3/26/2019,NOP,New Orleans Pelicans,NOP vs. ATL,Christian Wood,F,60.3,312,1,7056,1,12618,6,10,7,3260,8,447,9,2204,3,415,2,4097,1
3/26/2019,DAL,Dallas Mavericks,DAL vs. SAC,Dwight Powell,F-C,52.1,783,0,12874,3,5849,4,98,6,4636,9,316,13,591,0,11467,1,8514,2
3/26/2019,LAL,Los Angeles Lakers,LAL vs. WAS,JaVale McGee,C,57,453,0,12874,2,8551,4,98,9,1419,2,6102,15,299,2,1393,2,4097,3
3/26/2019,MIL,Milwaukee Bucks,MIL vs. HOU,Pat Connaughton,G,38.4,3074,4,662,4,3929,2,812,4,8828,2,6102,7,3913,2,1393,2,4097,4
3/26/2019,ORL,Orlando Magic,ORL @ MIA,Jonathan Isaac,F,36.2,3703,3,1597,2,8551,2,812,8,2174,0,13385,6,5192,1,4317,2,4097,5
3/26/2019,TOR,Toronto Raptors,TOR vs. CHI,OG Anunoby,F,21.7,10804,0,12874,1,12618,2,812,3,11548,4,2601,1,18809,1,4317,0,15731,6
3/26/2019,TOR,Toronto Raptors,TOR vs. CHI,Marc Gasol,C,18.7,12720,0,12874,1,12618,2,812,1,18112,0,13385,6,5192,1,4317,1,8514,7
3/26/2019,HOU,Houston Rockets,HOU @ MIL,James Harden,G,47.5,1301,1,7056,7,1184,2,812,9,1419,4,2601,10,1582,0,11467,4,786,8
3/26/2019,DET,Detroit Pistons,DET @ DEN,Andre Drummond,C,48.9,1121,0,12874,3,5849,2,812,5,6509,3,4174,17,151,2,1393,1,8514,9
3/26/2019,SAS,San Antonio Spurs,SAS @ CHA,Derrick White,G,29.5,6436,0,12874,7,1184,2,812,0,21502,4,2601,5,7038,2,1393,3,1827,10
3/25/2019,POR,Portland Trail Blazers,POR vs. BKN,Jusuf Nurkic,C,75.7,45,0,12874,5,2659,4,98,13,186,6,1093,16,207,2,1393,1,8514,1
3/25/2019,OKC,Oklahoma City Thunder,OKC @ MEM,Steven Adams,C,31.6,5459,0,12874,0,18130,3,272,1,18112,0,13385,8,2894,4,121,1,8514,2
3/25/2019,UTA,Utah Jazz,UTA vs. PHX,Derrick Favors,F-C,41.1,2388,0,12874,5,2659,2,812,9,1419,0,13385,8,2894,0,11467,0,15731,3
3/25/2019,MEM,Memphis Grizzlies,MEM vs. OKC,Jonas Valanciunas,C,41.3,2339,0,12874,1,12618,2,812,6,4636,6,1093,14,434,0,11467,1,8514,4
3/25/2019,BKN,Brooklyn Nets,BKN @ POR,Jared Dudley,F,31.5,5512,2,3543,3,5849,2,812,6,4636,1,10110,5,7038,0,11467,0,15731,5
3/25/2019,UTA,Utah Jazz,UTA vs. PHX,Rudy Gobert,C,44,1856,0,12874,0,18130,2,812,9,1419,9,316,10,1582,0,11467,1,8514,6
3/25/2019,ORL,Orlando Magic,ORL vs. PHI,Jonathan Isaac,F,17.8,13309,2,3543,0,18130,1,2443,3,11548,0,13385,4,9339,1,4317,1,8514,7
3/25/2019,BKN,Brooklyn Nets,BKN @ POR,Ed Davis,C,23.8,9494,0,12874,0,18130,1,2443,2,14769,2,6102,14,434,0,11467,2,4097,8
3/25/2019,PHX,Phoenix Suns,PHX @ UTA,Elie Okobo,G,17.4,13598,0,12874,4,3929,1,2443,2,14769,0,13385,2,15352,1,4317,1,8514,9
3/25/2019,PHX,Phoenix Suns,PHX @ UTA,Richaun Holmes,F-C,8.1,19738,0,12874,1,12618,1,2443,1,18112,0,13385,3,12137,0,11467,2,4097,10
