GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,DAY_RANK
3/7/2019,POR,Portland Trail Blazers,POR vs. OKC,Jusuf Nurkic,C,43.9,1878,0,12874,3,5849,1,2443,4,8828,5,1672,17,151,2,1393,3,1827,5
3/7/2019,OKC,Oklahoma City Thunder,OKC @ POR,Russell Westbrook,G,41.9,2216,5,280,3,5849,0,7843,14,108,4,2601,7,3913,0,11467,8,25,6
3/7/2019,MIL,Milwaukee Bucks,MIL vs. IND,Khris Middleton,F,41.4,2318,4,662,4,3929,0,7843,8,2174,7,723,2,15352,3,415,3,1827,7
3/7/2019,POR,Portland Trail Blazers,POR vs. OKC,CJ McCollum,G,36,3772,3,1597,0,18130,1,2443,9,1419,4,2601,5,7038,1,4317,1,8514,8
3/7/2019,MIL,Milwaukee Bucks,MIL vs. IND,Brook Lopez,C,34.2,4437,3,1597,0,18130,4,98,5,6509,0,13385,6,5192,1,4317,1,8514,9
3/7/2019,OKC,Oklahoma City Thunder,OKC @ POR,Steven Adams,C,31.4,5566,0,12874,0,18130,2,812,6,4636,0,13385,7,3913,2,1393,1,8514,10
3/6/2019,DAL,Dallas Mavericks,DAL @ WAS,Luka Doncic,F-G,64.7,161,2,3543,7,1184,0,7843,11,549,7,723,11,1140,4,121,2,4097,1
3/6/2019,DET,Detroit Pistons,DET vs. MIN,Andre Drummond,C,60.5,304,1,7056,3,5849,2,812,11,549,8,447,15,299,1,4317,2,4097,2
3/6/2019,PHX,Phoenix Suns,PHX vs. NYK,Devin Booker,G,57,453,6,113,4,3929,1,2443,14,108,7,723,5,7038,2,1393,5,338,3
3/6/2019,SAS,San Antonio Spurs,SAS @ ATL,Derrick White,G,54.7,592,1,7056,9,525,6,10,8,2174,1,10110,6,5192,0,11467,2,4097,4
3/6/2019,CHI,Chicago Bulls,CHI vs. PHI,Zach LaVine,G,52,794,2,3543,4,3929,0,7843,14,108,9,316,5,7038,1,4317,2,4097,5
3/6/2019,LAL,Los Angeles Lakers,LAL vs. DEN,LeBron James,F,51.9,804,2,3543,7,1184,1,2443,13,186,3,4174,7,3913,1,4317,4,786,6
3/6/2019,DEN,Denver Nuggets,DEN @ LAL,Nikola Jokic,C,51.4,851,0,12874,8,789,0,7843,3,11548,6,1093,17,151,3,415,2,4097,7
3/6/2019,CLE,Cleveland Cavaliers,CLE @ BKN,Kevin Love,F-C,51.2,873,4,662,4,3929,0,7843,5,6509,10,204,16,207,1,4317,1,8514,8
3/6/2019,PHI,Philadelphia 76ers,PHI @ CHI,Ben Simmons,G,48.7,1140,0,12874,7,1184,0,7843,7,3260,4,2601,11,1140,4,121,5,338,9
3/6/2019,WAS,Washington Wizards,WAS vs. DAL,Bradley Beal,G,48.4,1182,2,3543,8,789,0,7843,11,549,6,1093,7,3913,0,11467,2,4097,10
3/5/2019,MIN,Minnesota Timberwolves,MIN vs. OKC,Karl-Anthony Towns,C,65.3,154,3,1597,1,12618,0,7843,15,65,8,447,14,434,2,1393,0,15731,1
3/5/2019,OKC,Oklahoma City Thunder,OKC @ MIN,Russell Westbrook,G,60.6,301,5,280,6,1803,0,7843,15,65,3,4174,13,591,0,11467,2,4097,2
3/5/2019,MEM,Memphis Grizzlies,MEM vs. POR,Mike Conley,G,52.8,735,6,113,4,3929,0,7843,12,318,10,204,4,9339,1,4317,1,8514,3
3/5/2019,PHI,Philadelphia 76ers,PHI vs. ORL,Ben Simmons,G,50.6,930,0,12874,8,789,1,2443,6,4636,4,2601,13,591,2,1393,2,4097,4
3/5/2019,BOS,Boston Celtics,BOS @ GSW,Gordon Hayward,F,50.4,956,4,662,4,3929,0,7843,12,318,2,6102,7,3913,2,1393,0,15731,5
3/5/2019,PHI,Philadelphia 76ers,PHI vs. ORL,Tobias Harris,F,49.9,1004,1,7056,5,2659,1,2443,8,2174,4,2601,12,814,2,1393,2,4097,6
3/5/2019,HOU,Houston Rockets,HOU @ TOR,James Harden,G,48.7,1140,3,1597,3,5849,0,7843,12,318,8,447,1,18809,3,415,1,8514,7
3/5/2019,IND,Indiana Pacers,IND vs. CHI,Myles Turner,C-F,45.2,1663,1,7056,2,8551,7,3,3,11548,3,4174,11,1140,0,11467,2,4097,8
3/5/2019,BOS,Boston Celtics,BOS @ GSW,Kyrie Irving,G,44.5,1768,2,3543,11,183,0,7843,7,3260,3,4174,5,7038,2,1393,3,1827,9
