GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,AST_DAY_RANK
3/7/2019,MIL,Milwaukee Bucks,MIL vs. IND,Eric Bledsoe,G,26,8223,0,12874,4,3929,0,7843,6,4636,0,13385,5,7038,1,4317,1,8514,5
3/7/2019,IND,Indiana Pacers,IND @ MIL,Cory Joseph,G,17,13857,1,7056,4,3929,1,2443,2,14769,0,13385,0,22086,1,4317,0,15731,6
3/7/2019,MIL,Milwaukee Bucks,MIL vs. IND,Khris Middleton,F,41.4,2318,4,662,4,3929,0,7843,8,2174,7,723,2,15352,3,415,3,1827,7
3/7/2019,OKC,Oklahoma City Thunder,OKC @ POR,Dennis Schroder,G,22.8,10070,0,12874,4,3929,0,7843,7,3260,0,13385,4,9339,0,11467,2,4097,8
3/7/2019,MIL,Milwaukee Bucks,MIL vs. IND,Pat Connaughton,G,17.4,13598,1,7056,4,3929,0,7843,1,18112,0,13385,7,3913,0,11467,0,15731,9
3/7/2019,IND,Indiana Pacers,IND @ MIL,Thaddeus Young,F,27.4,7453,2,3543,4,3929,2,812,3,11548,2,6102,2,15352,2,1393,3,1827,10
3/6/2019,WAS,Washington Wizards,WAS vs. DAL,Tomas Satoransky,G,43.1,1991,0,12874,11,183,1,2443,4,8828,6,1093,8,2894,1,4317,3,1827,1
3/6/2019,LAL,Los Angeles Lakers,LAL vs. DEN,Rajon Rondo,G,35.9,3812,0,12874,11,183,1,2443,2,14769,0,13385,7,3913,2,1393,2,4097,2
3/6/2019,UTA,Utah Jazz,UTA @ NOP,Joe Ingles,F,34.6,4279,1,7056,10,325,0,7843,4,8828,1,10110,8,2894,1,4317,3,1827,3
3/6/2019,UTA,Utah Jazz,UTA @ NOP,Ricky Rubio,G,31.6,5459,0,12874,10,325,0,7843,3,11548,3,4174,3,12137,2,1393,2,4097,4
3/6/2019,SAS,San Antonio Spurs,SAS @ ATL,Derrick White,G,54.7,592,1,7056,9,525,6,10,8,2174,1,10110,6,5192,0,11467,2,4097,5
3/6/2019,WAS,Washington Wizards,WAS vs. DAL,Bradley Beal,G,48.4,1182,2,3543,8,789,0,7843,11,549,6,1093,7,3913,0,11467,2,4097,6
3/6/2019,DAL,Dallas Mavericks,DAL @ WAS,Jalen Brunson,G,26.2,8106,2,3543,8,789,0,7843,4,8828,1,10110,1,18809,1,4317,1,8514,7
3/6/2019,DEN,Denver Nuggets,DEN @ LAL,Nikola Jokic,C,51.4,851,0,12874,8,789,0,7843,3,11548,6,1093,17,151,3,415,2,4097,8
3/6/2019,MIN,Minnesota Timberwolves,MIN @ DET,Jeff Teague,G,30.6,5947,2,3543,8,789,0,7843,5,6509,3,4174,3,12137,1,4317,3,1827,9
3/6/2019,PHI,Philadelphia 76ers,PHI @ CHI,Ben Simmons,G,48.7,1140,0,12874,7,1184,0,7843,7,3260,4,2601,11,1140,4,121,5,338,10
3/5/2019,MIN,Minnesota Timberwolves,MIN vs. OKC,Jeff Teague,G,44,1856,1,7056,12,111,1,2443,5,6509,5,1672,5,7038,1,4317,2,4097,1
3/5/2019,BOS,Boston Celtics,BOS @ GSW,Kyrie Irving,G,44.5,1768,2,3543,11,183,0,7843,7,3260,3,4174,5,7038,2,1393,3,1827,2
3/5/2019,HOU,Houston Rockets,HOU @ TOR,Chris Paul,G,34.2,4437,0,12874,10,325,1,2443,1,18112,3,4174,6,5192,2,1393,2,4097,3
3/5/2019,POR,Portland Trail Blazers,POR @ MEM,Jusuf Nurkic,C,38.5,3041,0,12874,9,525,2,812,3,11548,0,13385,10,1582,1,4317,2,4097,4
3/5/2019,PHI,Philadelphia 76ers,PHI vs. ORL,Ben Simmons,G,50.6,930,0,12874,8,789,1,2443,6,4636,4,2601,13,591,2,1393,2,4097,5
3/5/2019,POR,Portland Trail Blazers,POR @ MEM,Damian Lillard,G,33.4,4730,3,1597,8,789,0,7843,8,2174,5,1672,2,15352,0,11467,5,338,6
3/5/2019,MEM,Memphis Grizzlies,MEM vs. POR,Joakim Noah,C,35.5,3937,0,12874,7,1184,0,7843,4,8828,1,10110,10,1582,2,1393,2,4097,7
3/5/2019,OKC,Oklahoma City Thunder,OKC @ MIN,Russell Westbrook,G,60.6,301,5,280,6,1803,0,7843,15,65,3,4174,13,591,0,11467,2,4097,8
3/5/2019,TOR,Toronto Raptors,TOR vs. HOU,Kyle Lowry,G,19.2,12408,0,12874,6,1803,0,7843,4,8828,0,13385,6,5192,0,11467,5,338,9
3/5/2019,IND,Indiana Pacers,IND vs. CHI,Thaddeus Young,F,30,6195,1,7056,6,1803,0,7843,5,6509,0,13385,10,1582,0,11467,2,4097,10
3/4/2019,LAL,Los Angeles Lakers,LAL vs. LAC,Rajon Rondo,G,52,794,4,662,12,111,0,7843,10,888,0,13385,10,1582,1,4317,5,338,1
3/4/2019,BKN,Brooklyn Nets,BKN vs. DAL,D'Angelo Russell,G,35.9,3812,1,7056,11,183,0,7843,6,4636,0,13385,2,15352,2,1393,2,4097,2
3/4/2019,UTA,Utah Jazz,UTA vs. NOP,Joe Ingles,F,22.3,10410,2,3543,11,183,0,7843,2,14769,2,6102,4,9339,0,11467,7,51,3
3/4/2019,UTA,Utah Jazz,UTA vs. NOP,Donovan Mitchell,G,31.9,5332,1,7056,9,525,1,2443,8,2174,2,6102,2,15352,0,11467,6,130,4
3/4/2019,SAS,San Antonio Spurs,SAS vs. DEN,Derrick White,G,41.3,2339,1,7056,9,525,3,272,4,8828,2,6102,4,9339,1,4317,0,15731,5
